序号	事件名	事件分类	功能说明	JSON 模板	字段说明
11	notice.group_upload	notice	群文件上传	{"time": 1718000010, "self_id": 123456789, "post_type": "notice", "notice_type": "group_upload", "group_id": 987654321, "user_id": 345678901, "file": {"id": "file_abc123", "name": "测试文件.pdf", "size": 102400, "busid": 102}}	notice_type=group_upload, file对象含id=文件ID, name=文件名, size=字节大小, busid=总线ID
12	notice.group_admin.set	notice	群管理员设置	{"time": 1718000011, "self_id": 123456789, "post_type": "notice", "notice_type": "group_admin", "sub_type": "set", "group_id": 987654321, "user_id": 345678902}	notice_type=group_admin, sub_type=set表示设置管理员, user_id=被设置的QQ号
13	notice.group_admin.unset	notice	群管理员取消	{"time": 1718000012, "self_id": 123456789, "post_type": "notice", "notice_type": "group_admin", "sub_type": "unset", "group_id": 987654321, "user_id": 345678902}	sub_type=unset表示取消管理员
14	notice.group_decrease.leave	notice	群成员主动退群	{"time": 1718000013, "self_id": 123456789, "post_type": "notice", "notice_type": "group_decrease", "sub_type": "leave", "group_id": 987654321, "operator_id": 345678903, "user_id": 345678903}	notice_type=group_decrease, sub_type=leave, operator_id=操作者(主动退群时等于user_id)
15	notice.group_decrease.kick	notice	群成员被踢	{"time": 1718000014, "self_id": 123456789, "post_type": "notice", "notice_type": "group_decrease", "sub_type": "kick", "group_id": 987654321, "operator_id": 123456789, "user_id": 345678904}	sub_type=kick, operator_id=踢人者, user_id=被踢者
16	notice.group_decrease.kick_me	notice	机器人被踢出群	{"time": 1718000015, "self_id": 123456789, "post_type": "notice", "notice_type": "group_decrease", "sub_type": "kick_me", "group_id": 987654321, "operator_id": 345678901, "user_id": 123456789}	sub_type=kick_me, user_id=self_id表示bot自己被踢
17	notice.group_increase.approve	notice	群成员通过审核入群	{"time": 1718000016, "self_id": 123456789, "post_type": "notice", "notice_type": "group_increase", "sub_type": "approve", "group_id": 987654321, "operator_id": 123456789, "user_id": 345678905}	notice_type=group_increase, sub_type=approve表示管理员同意入群
18	notice.group_increase.invite	notice	群成员被邀请入群	{"time": 1718000017, "self_id": 123456789, "post_type": "notice", "notice_type": "group_increase", "sub_type": "invite", "group_id": 987654321, "operator_id": 345678901, "user_id": 345678906}	sub_type=invite表示管理员邀请入群
19	notice.group_ban.ban	notice	群成员被禁言	{"time": 1718000018, "self_id": 123456789, "post_type": "notice", "notice_type": "group_ban", "sub_type": "ban", "group_id": 987654321, "operator_id": 123456789, "user_id": 345678907, "duration": 600}	notice_type=group_ban, sub_type=ban, duration=禁言时长(秒), 0=解除禁言
20	notice.group_ban.lift_ban	notice	群成员解除禁言	{"time": 1718000019, "self_id": 123456789, "post_type": "notice", "notice_type": "group_ban", "sub_type": "lift_ban", "group_id": 987654321, "operator_id": 123456789, "user_id": 345678907, "duration": 0}	sub_type=lift_ban, duration=0
21	notice.friend_add	notice	好友添加成功	{"time": 1718000020, "self_id": 123456789, "post_type": "notice", "notice_type": "friend_add", "user_id": 456789012}	notice_type=friend_add, user_id=新添加的好友QQ号
22	notice.group_recall	notice	群消息撤回	{"time": 1718000021, "self_id": 123456789, "post_type": "notice", "notice_type": "group_recall", "group_id": 987654321, "user_id": 345678901, "operator_id": 123456789, "message_id": 2001}	notice_type=group_recall, user_id=消息发送者, operator_id=撤回操作者, message_id=被撤回的消息ID
23	notice.friend_recall	notice	好友消息撤回	{"time": 1718000022, "self_id": 123456789, "post_type": "notice", "notice_type": "friend_recall", "user_id": 234567890, "message_id": 1001}	notice_type=friend_recall, user_id=好友QQ号, message_id=被撤回的消息ID
24	notice.notify.poke	notice	戳一戳	{"time": 1718000023, "self_id": 123456789, "post_type": "notice", "notice_type": "notify", "sub_type": "poke", "group_id": 987654321, "user_id": 345678901, "target_id": 123456789}	notice_type=notify, sub_type=poke, user_id=发送者, target_id=被戳者, group_id=群号(私聊戳一戳时无此字段)
25	notice.group_card	notice（扩展）	群成员名片变更	{"time": 1718000030, "self_id": 123456789, "post_type": "notice", "notice_type": "group_card", "group_id": 987654321, "user_id": 345678901, "card_new": "新名片", "card_old": "旧名片"}	notice_type=group_card, card_new=新群名片, card_old=旧群名片
26	notice.essence.add	notice（扩展）	群精华消息添加	{"time": 1718000031, "self_id": 123456789, "post_type": "notice", "notice_type": "essence", "sub_type": "add", "group_id": 987654321, "message_id": 2001, "sender_id": 345678901, "operator_id": 123456789}	notice_type=essence, sub_type=add/delete, sender_id=原消息发送者, operator_id=设精操作者
27	notice.notify.input_status	notice（扩展）	输入状态更新	{"time": 1718000032, "self_id": 123456789, "post_type": "notice", "notice_type": "notify", "sub_type": "input_status", "group_id": 987654321, "user_id": 345678901, "status": {"text": "正在输入..."}}	sub_type=input_status, status.text=输入状态文本
28	notice.notify.title	notice（扩展）	群成员头衔变更	{"time": 1718000033, "self_id": 123456789, "post_type": "notice", "notice_type": "notify", "sub_type": "title", "group_id": 987654321, "user_id": 345678901, "title_new": "新头衔", "title_old": "旧头衔"}	sub_type=title, title_new=新头衔, title_old=旧头衔
29	notice.notify.profile_like	notice（扩展）	资料页点赞通知	{"time": 1718000034, "self_id": 123456789, "post_type": "notice", "notice_type": "notify", "sub_type": "profile_like", "user_id": 345678901, "times": 1, "like_count": 10}	sub_type=profile_like, user_id=点赞者, times=本次点赞次数, like_count=总赞数
